ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
419;20668,35;39562,22;60230,56;34665,72;94896,29
420;4935,92;9903,26;14839,18;4363,06;19202,24
421;30048,19;27160,5;57208,69;22293,53;79502,21
422;128485,74;155601,18;284086,92;51976,73;336063,65
423;10993,27;31241,3;42234,57;6804,89;49039,46
424;15578,54;20369,68;35948,21;11302,4;47250,61
425;6559,04;15543,12;22102,16;15126,83;37228,99
426;16262,52;22104,14;38366,67;11792,49;50159,16
427;16953,32;31118,85;48072,17;24299,04;72371,21
428;20647,58;42437,38;63084,96;27705,78;90790,74
429;22562,58;42954,82;65517,4;35528,61;101046,01
430;21660,21;27035,21;48695,42;19446;68141,42
431;50310,27;78195,91;128506,18;53828,74;182334,92
432;41530,71;102333,4;143864,11;38516,55;182380,66
433;45988,11;49347,86;95335,98;43702,81;139038,79
434;1911,79;3567,99;5479,78;745,98;6225,75
435;33157,7;27855,3;61013;15217,81;76230,81
436;84949,85;87685,15;172635,01;90198,07;262833,07
437;72953,56;51998,55;124952,11;108370,36;233322,47
438;42675,8;29146,2;71822;50570,64;122392,64
439;8873,82;9803,47;18677,29;7813,34;26490,63
440;65897,43;66177,06;132074,48;44320,13;176394,61
441;12892,1;7119,29;20011,39;6880,79;26892,18
442;7936,03;6337;14273,03;4348,48;18621,51
443;6490,64;2821,27;9311,91;5167,08;14478,99
444;15739,95;7186,26;22926,2;24538,7;47464,9
445;54477,57;79615,54;134093,11;43684,95;177778,06
446;29572,89;48954,14;78527,02;38749,43;117276,45
447;25805,43;53023,3;78828,73;26208,46;105037,19
448;43846,78;57074,66;100921,44;38828,43;139749,86
449;87067,91;120581,08;207648,99;44705,39;252354,38
450;69072,58;74128,13;143200,72;106737,02;249937,74
451;51853,03;61949,69;113802,72;52282,52;166085,25
452;16479,14;16417,73;32896,87;28091,82;60988,69
453;13164,46;10763,71;23928,16;10628,84;34557,01
454;66341,49;56481,49;122822,98;102520,53;225343,51
455;51363,33;56938,7;108302,03;71015,72;179317,75
456;45531,53;50568,66;96100,19;70939,82;167040
457;31273,26;56341,26;87614,52;96187,05;183801,58
458;27373,58;26980,61;54354,19;37944,67;92298,86
459;29475,5;13596,98;43072,48;39511,08;82583,56
460;45636,97;42909,8;88546,77;36213,52;124760,28
461;18801,85;29848,03;48649,88;29075,82;77725,69
462;44295,66;35741,93;80037,6;68591,48;148629,08
463;29110,93;20340,69;49451,62;65091,05;114542,66
464;30103,37;31550,74;61654,11;54057,27;115711,38
465;49298,84;63030,3;112329,14;73850,9;186180,03
466;41947,49;47838,62;89786,11;48035,07;137821,18
467;12549,18;11013,01;23562,19;9532,85;33095,04
468;82675,43;91187,97;173863,4;83922,15;257785,55
469;2665,86;2022,75;4688,62;2013,46;6702,08
470;4842,17;6620,66;11462,83;3711,21;15174,04
471;5659,17;5630,48;11289,64;8961,15;20250,8
472;23746,06;27056,76;50802,82;20474,78;71277,6
473;11735,58;9323,95;21059,53;4386,18;25445,71
474;6002,72;1838,26;7840,98;996,69;8837,66
475;15327,9;13332,66;28660,56;15556,17;44216,72
476;64003,73;74366,91;138370,65;37300,97;175671,61
477;29824,69;51611,34;81436,03;36378,54;117814,57
478;48166,11;66483,53;114649,64;13985,11;128634,74
479;5961,2;6513,31;12474,51;3225,76;15700,27
480;20815,92;19997,4;40813,32;21285,21;62098,53
481;25305,15;41063,08;66368,23;40618,51;106986,74
482;10096,34;15840,9;25937,24;16543,33;42480,57
483;4937,88;6190,35;11128,23;934,47;12062,7
484;64355,28;33440,5;97795,78;51700,21;149495,99
485;73225,15;44931,1;118156,25;75159,23;193315,47
486;25136,36;41190,21;66326,58;49324,28;115650,85
487;16547,74;14766,63;31314,37;11413,13;42727,49
488;14470,06;17792,48;32262,54;34506,45;66768,99
489;44666,05;35293,26;79959,31;10904,84;90864,15
490;30345,31;33593,75;63939,06;9725,9;73664,96
491;26335,53;28815,38;55150,9;14394,78;69545,68
492;39421,04;71823,99;111245,03;48184,47;159429,5
493;12971,12;9437,14;22408,26;13049,18;35457,44
494;27212,78;21455,17;48667,95;36086,99;84754,94
495;49883,93;47227,37;97111,3;53536,28;150647,58
496;26991,56;54968,58;81960,13;29980,95;111941,09
497;5300,57;8274,38;13574,95;8224,83;21799,78
498;15655,13;19627,99;35283,12;12094,42;47377,54
499;54084,7;37747,34;91832,04;68380,17;160212,21
500;20745,87;23498,84;44244,71;33586,61;77831,32
501;25497,3;27416,08;52913,38;43349,05;96262,43
502;20207,25;13667,99;33875,23;12065,18;45940,41
503;9084,73;12685,98;21770,72;5548,68;27319,4
504;32344,37;46579,21;78923,58;70371,88;149295,46
505;2474,04;5894,99;8369,03;1593,24;9962,27
506;28068,12;38596,64;66664,76;13641,33;80306,09
507;18106,4;29513,21;47619,61;8317,63;55937,25
508;67941,11;103944,57;171885,68;73772,16;245657,84
509;2834,34;2631,22;5465,56;1461,11;6926,67
510;0;0;0;0;0
511;11839,86;17980,97;29820,82;27696,14;57516,96
512;21519,38;35770,08;57289,46;38955,28;96244,74
513;1086,35;1434,19;2520,54;395,79;2916,32
514;53887,71;44052,91;97940,62;60367,98;158308,6
515;52428,34;47887,48;100315,82;53982,53;154298,35
516;66984,55;94454,02;161438,57;53303,02;214741,59
517;6337,13;2867,18;9204,3;13722,93;22927,23
