ZONA;Ônibus;Fretado;Escolar;Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
 100 ;27797;2086;1089;36791;179;1486;2240;0;31;42079;0;113778
 101 ;5124;314;105;10327;0;1712;1854;225;1010;12893;225;33790
 102 ;18873;3699;363;41602;76;993;6268;364;741;24393;1240;98611
 103 ;26730;344;1230;30775;49;1985;882;613;494;43437;344;106881
 104 ;22240;1605;860;23594;0;1580;456;860;899;40136;0;92231
 105 ;16810;2580;702;38883;80;724;2449;32;0;29888;0;92147
 106 ;35142;968;1152;57382;152;8019;421;354;1212;65798;0;170600
 107 ;14914;136;225;27487;664;4109;0;144;174;39579;0;87432
 108 ;98;334;0;167;0;0;0;0;0;174;0;772
 109 ;9337;273;934;34944;0;18507;172;117;253;21442;0;85978
 110 ;13086;141;2506;40074;0;19122;147;375;0;28885;0;104337
 111 ;9509;315;1379;24785;983;6583;53;24;514;9506;0;53650
 112 ;4579;0;0;5361;877;1818;0;0;0;543;0;13178
 113 ;14011;362;2025;45777;905;13227;102;454;79;17682;0;94623
 114 ;8290;101;276;16437;0;1608;0;820;47;12852;0;40431
 115 ;20568;105;1663;36662;105;5157;0;491;47;30080;118;94996
 116 ;27925;0;1337;72444;1938;4660;103;674;514;20616;0;130211
 117 ;14855;29;137;29824;615;2525;61;0;47;11482;87;59660
 118 ;5773;305;71;14622;34;3145;0;134;0;5958;0;30041
 119 ;18082;141;764;25520;1908;1575;0;125;47;6968;0;55129
 120 ;11774;0;237;20702;383;538;0;0;0;4982;0;38616
 121 ;15944;441;0;36872;167;2057;1528;48;0;9666;0;66723
 122 ;11846;2190;211;35907;871;1780;688;96;75;7785;262;61709
 123 ;13842;0;194;43740;25;335;119;2585;217;6714;0;67772
 124 ;13091;0;519;18320;31;1666;1354;303;0;4392;0;39676
 125 ;4380;0;295;11116;0;377;159;0;0;740;0;17066
 126 ;10689;103;0;18477;80;419;630;0;0;2025;42;32467
 127 ;8104;56;48;21276;0;1296;0;652;214;5303;0;36949
